País;N°_de_faturas;Percentual_de_faturas_%;Valor_médio;Valor_mínimo;Valor_máximo
United Kingdom;16676;89.82;438,26;0,0;168469,6
Germany;457;2.46;500,8;3,0;9341,26
France;390;2.1;535,96;4,63;8895,76
EIRE;261;1.41;1017,42;1,45;16774,72
Belgium;98;0.53;420,37;34,0;1491,59
Netherlands;95;0.51;3004,7;0,0;20277,92
Spain;90;0.48;684,19;13,25;4146,34
Australia;57;0.31;2430,2;61,2;22775,93
Portugal;57;0.31;586,66;27,0;2271,62
Switzerland;51;0.27;1106,74;4,95;6207,67
Finland;41;0.22;549,9;69,61;2474,62
Italy;38;0.2;460,09;12,75;1757,55
Sweden;36;0.19;1066,06;8,5;5296,96
Norway;36;0.19;1004,6;4,5;4366,78
Channel Islands;26;0.14;786,56;33,0;2060,03
Japan;20;0.11;1870,82;15,3;5735,24
Poland;19;0.1;386,03;25,0;981,95
Denmark;18;0.1;1053,07;168,9;3978,99
Cyprus;16;0.09;849,4;15,0;2876,85
Austria;17;0.09;599,92;153,76;1542,08
Iceland;7;0.04;615,71;224,82;1294,32
Unspecified;8;0.04;333,38;185,78;852,68
Singapore;7;0.04;3039,9;999,26;6068,06
USA;5;0.03;716,08;269,96;1579,51
Greece;5;0.03;952,1;387,31;2661,24
Canada;6;0.03;611,06;51,56;1217,64
Malta;5;0.03;545,12;30,0;905,5
Israel;5;0.03;1444,34;15,7;4873,81
Lithuania;4;0.02;415,26;15,0;1145,06
European Community;4;0.02;325,06;45,0;676,8
United Arab Emirates;3;0.02;634,09;37,5;975,54
Czech Republic;2;0.01;413,37;277,48;549,26
RSA;1;0.01;1002,31;1002,31;1002,31
Brazil;1;0.01;1143,6;1143,6;1143,6
Lebanon;1;0.01;1693,88;1693,88;1693,88
Bahrain;2;0.01;274,2;89,0;459,4
Saudi Arabia;1;0.01;145,92;145,92;145,92
