N°_da_fatura;Data_da_fatura;ID_Cliente;País;Quantidade;Valor;Ano_mes;Pertence_UK
536365;2020-12-01 08:26:00;17850;United Kingdom;40;139,12;2020-12;SIM
536366;2020-12-01 08:28:00;17850;United Kingdom;12;22,2;2020-12;SIM
536368;2020-12-01 08:34:00;13047;United Kingdom;15;70,05;2020-12;SIM
536367;2020-12-01 08:34:00;13047;United Kingdom;83;278,73;2020-12;SIM
536369;2020-12-01 08:35:00;13047;United Kingdom;3;17,85;2020-12;SIM
536370;2020-12-01 08:45:00;12583;France;449;855,86;2020-12;NÃO
536371;2020-12-01 09:00:00;13748;United Kingdom;80;204,0;2020-12;SIM
536372;2020-12-01 09:01:00;17850;United Kingdom;12;22,2;2020-12;SIM
536373;2020-12-01 09:02:00;17850;United Kingdom;88;259,86;2020-12;SIM
536374;2020-12-01 09:09:00;15100;United Kingdom;32;350,4;2020-12;SIM
536376;2020-12-01 09:32:00;15291;United Kingdom;112;328,8;2020-12;SIM
536375;2020-12-01 09:32:00;17850;United Kingdom;88;259,86;2020-12;SIM
536377;2020-12-01 09:34:00;17850;United Kingdom;12;22,2;2020-12;SIM
536378;2020-12-01 09:37:00;14688;United Kingdom;454;444,98;2020-12;SIM
536381;2020-12-01 09:41:00;15311;United Kingdom;198;449,98;2020-12;SIM
536380;2020-12-01 09:41:00;17809;United Kingdom;24;34,8;2020-12;SIM
536382;2020-12-01 09:45:00;16098;United Kingdom;134;430,6;2020-12;SIM
536384;2020-12-01 09:53:00;18074;United Kingdom;190;489,6;2020-12;SIM
536385;2020-12-01 09:56:00;17420;United Kingdom;53;130,85;2020-12;SIM
536386;2020-12-01 09:57:00;16029;United Kingdom;236;508,2;2020-12;SIM
536387;2020-12-01 09:58:00;16029;United Kingdom;1440;3193,92;2020-12;SIM
536388;2020-12-01 09:59:00;16250;United Kingdom;108;226,14;2020-12;SIM
536389;2020-12-01 10:03:00;12431;Australia;107;358,25;2020-12;NÃO
536390;2020-12-01 10:19:00;17511;United Kingdom;1568;1825,74;2020-12;SIM
536392;2020-12-01 10:29:00;13705;United Kingdom;103;318,14;2020-12;SIM
536393;2020-12-01 10:37:00;13747;United Kingdom;8;79,6;2020-12;SIM
536394;2020-12-01 10:39:00;13408;United Kingdom;544;1024,68;2020-12;SIM
536395;2020-12-01 10:47:00;13767;United Kingdom;260;507,88;2020-12;SIM
536397;2020-12-01 10:51:00;17924;United Kingdom;60;279,0;2020-12;SIM
536396;2020-12-01 10:51:00;17850;United Kingdom;102;376,36;2020-12;SIM
536399;2020-12-01 10:52:00;17850;United Kingdom;12;22,2;2020-12;SIM
536398;2020-12-01 10:52:00;13448;United Kingdom;150;426,56;2020-12;SIM
536400;2020-12-01 10:53:00;13448;United Kingdom;12;17,4;2020-12;SIM
536401;2020-12-01 11:21:00;15862;United Kingdom;124;354,23;2020-12;SIM
536402;2020-12-01 11:22:00;15513;United Kingdom;116;357,0;2020-12;SIM
536403;2020-12-01 11:27:00;12791;Netherlands;97;192,6;2020-12;NÃO
536404;2020-12-01 11:29:00;16218;United Kingdom;438;471,3;2020-12;SIM
536405;2020-12-01 11:32:00;14045;United Kingdom;128;326,4;2020-12;SIM
536406;2020-12-01 11:33:00;17850;United Kingdom;96;353,14;2020-12;SIM
536407;2020-12-01 11:34:00;17850;United Kingdom;12;22,2;2020-12;SIM
536408;2020-12-01 11:41:00;14307;United Kingdom;558;783,11;2020-12;SIM
536409;2020-12-01 11:45:00;17908;United Kingdom;173;243,28;2020-12;SIM
536412;2020-12-01 11:49:00;17920;United Kingdom;220;514,41;2020-12;SIM
536415;2020-12-01 11:57:00;12838;United Kingdom;228;390,79;2020-12;SIM
536416;2020-12-01 11:58:00;13255;United Kingdom;110;225,7;2020-12;SIM
536420;2020-12-01 12:03:00;16583;United Kingdom;111;233,45;2020-12;SIM
536425;2020-12-01 12:08:00;13758;United Kingdom;137;362,45;2020-12;SIM
536423;2020-12-01 12:08:00;18085;United Kingdom;78;303,9;2020-12;SIM
536437;2020-12-01 12:12:00;13694;United Kingdom;1004;842,12;2020-12;SIM
536446;2020-12-01 12:15:00;15983;United Kingdom;329;440,89;2020-12;SIM
536463;2020-12-01 12:22:00;14849;United Kingdom;12;17,4;2020-12;SIM
536460;2020-12-01 12:22:00;14849;United Kingdom;158;295,54;2020-12;SIM
536464;2020-12-01 12:23:00;17968;United Kingdom;160;277,35;2020-12;SIM
536466;2020-12-01 12:23:00;14849;United Kingdom;18;42,9;2020-12;SIM
536477;2020-12-01 12:27:00;16210;United Kingdom;1070;2474,74;2020-12;SIM
536488;2020-12-01 12:31:00;17897;United Kingdom;72;165,89;2020-12;SIM
536500;2020-12-01 12:35:00;17377;United Kingdom;102;223,9;2020-12;SIM
536502;2020-12-01 12:36:00;16552;United Kingdom;39;95,29;2020-12;SIM
536508;2020-12-01 12:38:00;17181;United Kingdom;216;155,52;2020-12;SIM
536514;2020-12-01 12:40:00;17951;United Kingdom;118;295,5;2020-12;SIM
536520;2020-12-01 12:43:00;14729;United Kingdom;197;313,49;2020-12;SIM
536521;2020-12-01 12:48:00;12748;United Kingdom;1;4,95;2020-12;SIM
536522;2020-12-01 12:49:00;15012;United Kingdom;86;191,06;2020-12;SIM
536523;2020-12-01 12:50:00;12868;United Kingdom;112;203,3;2020-12;SIM
536524;2020-12-01 12:51:00;17572;United Kingdom;24;70,8;2020-12;SIM
536525;2020-12-01 12:54:00;14078;United Kingdom;29;136,24;2020-12;SIM
536526;2020-12-01 12:58:00;14001;United Kingdom;94;301,24;2020-12;SIM
536527;2020-12-01 13:04:00;12662;Germany;157;261,48;2020-12;NÃO
536528;2020-12-01 13:17:00;15525;United Kingdom;124;313,93;2020-12;SIM
536529;2020-12-01 13:20:00;14237;United Kingdom;38;161,0;2020-12;SIM
536530;2020-12-01 13:21:00;17905;United Kingdom;72;201,75;2020-12;SIM
536531;2020-12-01 13:23:00;15485;United Kingdom;416;950,09;2020-12;SIM
536532;2020-12-01 13:24:00;12433;Norway;1852;1919,14;2020-12;NÃO
536533;2020-12-01 13:31:00;16955;United Kingdom;80;156,1;2020-12;SIM
536534;2020-12-01 13:33:00;15350;United Kingdom;51;115,65;2020-12;SIM
536535;2020-12-01 13:38:00;15605;United Kingdom;71;194,85;2020-12;SIM
536536;2020-12-01 13:45:00;18144;United Kingdom;95;165,05;2020-12;SIM
536537;2020-12-01 13:51:00;15922;United Kingdom;138;369,5;2020-12;SIM
536538;2020-12-01 13:54:00;14594;United Kingdom;146;255,0;2020-12;SIM
536539;2020-12-01 14:03:00;15165;United Kingdom;160;487,75;2020-12;SIM
536540;2020-12-01 14:05:00;14911;EIRE;231;540,38;2020-12;NÃO
536541;2020-12-01 14:05:00;14911;EIRE;12;15,0;2020-12;NÃO
536542;2020-12-01 14:11:00;16456;United Kingdom;392;787,4;2020-12;SIM
536551;2020-12-01 14:34:00;17346;United Kingdom;88;146,61;2020-12;SIM
536556;2020-12-01 14:38:00;17643;United Kingdom;71;101,55;2020-12;SIM
536557;2020-12-01 14:41:00;17841;United Kingdom;199;537,38;2020-12;SIM
536559;2020-12-01 14:54:00;17873;United Kingdom;129;215,15;2020-12;SIM
536560;2020-12-01 15:00:00;13093;United Kingdom;256;799,4;2020-12;SIM
536561;2020-12-01 15:06:00;12921;United Kingdom;140;322,4;2020-12;SIM
536563;2020-12-01 15:08:00;17760;United Kingdom;165;172,54;2020-12;SIM
536564;2020-12-01 15:08:00;13468;United Kingdom;12;51,4;2020-12;SIM
536562;2020-12-01 15:08:00;13468;United Kingdom;99;308,65;2020-12;SIM
536566;2020-12-01 15:21:00;16928;United Kingdom;93;116,25;2020-12;SIM
536567;2020-12-01 15:27:00;16048;United Kingdom;132;251,4;2020-12;SIM
536568;2020-12-01 15:28:00;16048;United Kingdom;12;5,04;2020-12;SIM
536569;2020-12-01 15:35:00;16274;United Kingdom;155;357,95;2020-12;SIM
536570;2020-12-01 15:35:00;14496;United Kingdom;86;304,34;2020-12;SIM
536571;2020-12-01 15:37:00;14696;United Kingdom;284;294,62;2020-12;SIM
536572;2020-12-01 15:40:00;16539;United Kingdom;301;442,35;2020-12;SIM
536573;2020-12-01 15:45:00;17025;United Kingdom;136;143,12;2020-12;SIM
536574;2020-12-01 15:46:00;17025;United Kingdom;3;17,85;2020-12;SIM
536575;2020-12-01 16:01:00;13777;United Kingdom;858;1552,98;2020-12;SIM
536576;2020-12-01 16:11:00;13777;United Kingdom;1122;2558,42;2020-12;SIM
536577;2020-12-01 16:13:00;13777;United Kingdom;388;497,0;2020-12;SIM
536578;2020-12-01 16:15:00;17690;United Kingdom;104;279,6;2020-12;SIM
536579;2020-12-01 16:16:00;13777;United Kingdom;276;315,96;2020-12;SIM
536580;2020-12-01 16:17:00;17690;United Kingdom;66;97,2;2020-12;SIM
536581;2020-12-01 16:19:00;13777;United Kingdom;200;330,0;2020-12;SIM
536583;2020-12-01 16:21:00;13777;United Kingdom;120;198,0;2020-12;SIM
536582;2020-12-01 16:21:00;12947;United Kingdom;184;304,04;2020-12;SIM
